12	[25883, 26866, 72120, 96702, 119934, 161994, 216278, 227048, 245969, 287675, 355680, 405929, 444297, 516262, 537824, 629470, 638964, 668211, 674611, 677589, 716681, 734861, 818164, 839736, 900022, 943737, 974601, 993195, 1051158, 1060157, 1071678, 1176667, 1218456, 1241516, 1289734, 1359382, 1396757, 1491664, 1584066, 1624321, 1678060, 1682503, 1718408, 1739457, 1749548, 1788018, 1804735, 1848663, 1882987, 1894702, 1911267, 1932614, 1991168, 1998032, 2057133]
13	[108559, 319867, 737782, 1719557, 2076701, 2091832]
14	[639466, 725019, 1088678, 1201815]
15	[8129, 62001, 64694, 101816, 127037, 133205, 168587, 193629, 298495, 313742, 378101, 525323, 626177, 657215, 704362, 727998, 742301, 753790, 772368, 778784, 839736, 856573, 953336, 970547, 1101472, 1130496, 1148414, 1195226, 1229660, 1283332, 1326471, 1334236, 1368389, 1388440, 1394838, 1413637, 1492009, 1513840, 1529852, 1632214, 1640943, 1678204, 1678785, 1728432, 1740829, 1756058, 1861684, 1865282, 1975667, 1980139, 2045913, 2057936]
16	[473436, 590785, 1107698, 1253108, 1982133, 2047018, 2067907]
17	[220592, 393107, 444761, 546825, 647535, 695020, 779535, 839736, 1108483, 1192794, 1221753, 1381640, 1425469, 1912012, 1937657, 1970360]
18	[220592, 393107, 444761, 462736, 546825, 647535, 695020, 779535, 938197, 1108483, 1192794, 1221753, 1381640, 1425469, 1800174, 1912012, 1937657, 1970360]
19	[15466, 38492, 48730, 49375, 74613, 85750, 128533, 131876, 152338, 161395, 179142, 297404, 302897, 345618, 349317, 382365, 392869, 427493, 440632, 484248, 575483, 580785, 581794, 733140, 733475, 805298, 809736, 821075, 838917, 839736, 855567, 992263, 1111313, 1116329, 1134424, 1143856, 1181215, 1223310, 1241160, 1248261, 1250700, 1267918, 1280922, 1305659, 1321359, 1327711, 1353005, 1357973, 1393253, 1430803, 1480813, 1508923, 1527441, 1537207, 1549219, 1570102, 1660198, 1763715, 1796737, 1812811, 1859190, 1873375, 1901765, 1993180, 1994470, 1997632, 2051549, 2091426]
20	[711301, 839736, 857166, 1363381, 1381070, 1611783]
21	[117066, 842645, 1119534, 1220077]
22	[559950, 839736, 841552, 1131984, 1247820, 1318220, 1653780]
23	[83376, 90317, 143415, 153470, 171002, 220550, 258967, 357245, 405279, 418150, 511781, 589598, 598158, 642982, 708080, 714380, 787796, 810735, 813636, 825466, 841015, 875863, 910939, 931049, 935776, 963148, 965076, 970160, 970490, 1032029, 1045021, 1082547, 1098358, 1152233, 1165425, 1178195, 1224245, 1231028, 1234713, 1246650, 1346967, 1405426, 1410699, 1417243, 1449824, 1459714, 1490672, 1554678, 1597320, 1683303, 1692925, 1728164, 1749109, 1858381, 1873607, 2052043, 2060106, 2081131]
24	[229952, 280439, 575771, 679297, 795257, 833129, 1125646, 1138420, 1234713, 1246650, 1923192, 1979024, 2093891]
25	[958301, 1162853, 1549032, 1565051]
26	[265933, 1166845, 1276675, 1401559]
27	[487752, 916602, 1174742, 1683311, 1875369]
28	[346310, 617164, 924388, 1254510]
29	[204101, 735424, 1184365, 1455873, 1656601]
30	[25792, 226280, 444898, 744541, 757419, 1196426]
31	[6534, 38622, 83986, 95161, 179988, 257896, 277274, 312564, 374355, 379254, 462663, 464830, 523606, 591820, 715390, 737575, 748592, 756638, 757845, 797317, 798869, 821251, 832662, 839736, 871111, 874887, 986349, 1076477, 1114109, 1203064, 1208350, 1345871, 1424087, 1534016, 1547860, 1549439, 1571183, 1596719, 1622104, 1772919, 1814880, 1892706, 1902375, 1934504, 2018684, 2041384]
32	[6110, 230498, 539865, 755822, 889064, 1124046, 1198534, 1564534, 1592997, 1596719, 1971852]
33	[1209628, 1390240, 1580124, 1617284, 1794634, 1946929, 2066168]
34	[439105, 580064, 903769, 1053224, 1229412, 1464748, 1588412, 1696241, 1809285]
35	[36450, 37330, 58017, 65109, 94185, 99609, 109455, 292049, 412610, 437544, 448873, 499367, 539907, 580336, 596587, 644063, 729698, 856590, 897556, 1090219, 1108000, 1117298, 1176719, 1230148, 1241725, 1297867, 1414966, 1479571, 1513573, 1525975, 1569963, 1607547, 1636010, 1679345, 1759022, 1801335, 1817739, 1862567, 1928375, 1943228, 1981182, 1981617, 2026615]
36	[4908, 48628, 134366, 149913, 225622, 250943, 265272, 325528, 374824, 375714, 422666, 428815, 506611, 574210, 597706, 652484, 678642, 723987, 766395, 795501, 839736, 875692, 918616, 973665, 997011, 1155879, 1234605, 1242167, 1314558, 1342832, 1371106, 1522908, 1595784, 1695328, 1747170, 1813824, 1840656, 1846280, 1932928, 1940081, 1942625, 2013273, 2015129, 2068147, 2089499]
37	[494254, 970012, 1261486, 1880065, 1903719]
38	[105229, 1180630, 1212680, 1281941, 1386541]
39	[140029, 766649, 794748, 1274841, 1294321, 1320383, 1623490]
40	[129457, 494296, 835642, 1495961, 1629394]
41	[546233, 839736, 1317574, 1510967, 1742829, 1946546]
42	[268856, 367517, 1180289, 1279087, 1325405, 1494148]
43	[180661, 839736, 1331654, 1421418, 1973863]
44	[13354, 419467, 532424, 1469128, 2017643]
45	[331408, 1351556, 1566170, 1871817]
46	[295558, 372482, 591107, 650064, 1233506, 1353156, 1725488]
47	[399477, 1382429, 1491001, 1910777]
48	[149057, 357179, 872825, 1428997, 1588767]
49	[88388, 452530, 1429989, 1597848, 1697086, 1954532]
50	[196239, 199078, 213290, 258503, 289181, 328274, 345382, 386585, 432283, 539617, 575483, 698208, 774775, 801862, 839736, 919935, 932874, 973062, 1039362, 1132076, 1319731, 1360715, 1381070, 1388022, 1399755, 1427875, 1430968, 1432187, 1563653, 1570102, 1616474, 1627198, 1696753, 1710420, 1897980, 1912164]
51	[690597, 1432488, 1922244, 1947928]
52	[281931, 535691, 579661, 1132521, 1444056]
53	[96972, 1205461, 1492555, 1607917]
54	[19843, 33434, 38398, 81689, 121745, 148882, 164603, 241855, 321318, 444532, 467299, 476970, 549003, 721255, 760596, 769381, 774798, 776705, 798854, 823913, 824453, 839736, 864019, 873971, 884977, 998420, 1024085, 1119337, 1129455, 1225393, 1255142, 1263311, 1276986, 1297648, 1337278, 1400547, 1423904, 1504044, 1547150, 1557777, 1570944, 1607917, 1607944, 1618056, 1713904, 1822171, 1846010, 1952341, 2017474, 2080368]
55	[116009, 1521668, 1626629, 1909047, 2064523]
56	[46423, 137622, 704004, 1275173, 1524136, 1527648, 1998550, 2087553]
57	[233486, 725044, 973520, 1528090, 1532160, 1595318]
58	[508018, 1593258, 1762242, 1836139]
59	[247384, 1187902, 1523933, 1629590]
60	[180539, 310080, 503970, 923760, 959623, 1330769, 1369240, 1635641, 1744199, 2078034]
61	[328117, 520054, 839736, 1660730, 1809394]
62	[922325, 1180958, 1667873, 1976367, 2039166]
63	[183441, 745640, 898955, 1669109]
64	[271995, 317580, 1463759, 1564521, 1675066]
65	[20448, 1201079, 1685011, 2066972]
66	[2672, 17612, 966656, 1724998]
67	[459445, 697057, 1813380, 2035914, 2079003]
68	[19843, 241855, 299728, 303603, 504575, 535082, 774798, 798854, 936244, 1607917, 1822171, 1952341]
69	[69324, 683940, 998036, 1843161]
70	[651614, 687631, 839736, 872243, 1861552]
71	[643447, 1873443, 1953824, 2014530]
72	[331284, 668484, 839736, 1185012, 1901189, 2065364]
73	[261021, 896242, 920852, 1820326]
74	[258503, 328274, 432283, 801862, 1897980]
75	[366288, 564947, 733929, 788040]
76	[408230, 557868, 813863, 1906865]
77	[601331, 666534, 774876, 974088, 983693, 1170077, 1885933, 1934078]
78	[557591, 863925, 870289, 1668273]
79	[637018, 839736, 973383, 1020418, 1028085]
