17	[6110, 230498, 539865, 755822, 889064, 1124046, 1198534, 1564534, 1592997, 1596719, 1971852]
18	[1209628, 1390240, 1580124, 1617284, 1794634, 1946929, 2066168]
19	[36450, 37330, 58017, 65109, 94185, 99609, 109455, 292049, 412610, 437544, 448873, 499367, 539907, 580336, 596587, 644063, 729698, 856590, 897556, 1090219, 1108000, 1117298, 1176719, 1230148, 1241725, 1297867, 1414966, 1479571, 1513573, 1525975, 1569963, 1607547, 1636010, 1679345, 1759022, 1801335, 1817739, 1862567, 1928375, 1943228, 1981182, 1981617, 2026615]
20	[494254, 970012, 1261486, 1880065, 1903719]
21	[105229, 1180630, 1212680, 1281941, 1386541]
22	[140029, 766649, 794748, 1274841, 1294321, 1320383, 1623490]
23	[129457, 494296, 835642, 1495961, 1629394]
24	[268856, 367517, 1180289, 1279087, 1325405, 1494148]
25	[13354, 419467, 532424, 1469128, 2017643]
26	[331408, 1351556, 1566170, 1871817]
27	[295558, 372482, 591107, 650064, 1233506, 1353156, 1725488]
28	[399477, 1382429, 1491001, 1910777]
29	[149057, 357179, 872825, 1428997, 1588767]
30	[88388, 452530, 1429989, 1597848, 1697086, 1954532]
31	[690597, 1432488, 1922244, 1947928]
32	[281931, 535691, 579661, 1132521, 1444056]
33	[116009, 1521668, 1626629, 1909047, 2064523]
34	[46423, 137622, 704004, 1275173, 1524136, 1527648, 1998550, 2087553]
35	[233486, 725044, 973520, 1528090, 1532160, 1595318]
36	[508018, 1593258, 1762242, 1836139]
37	[247384, 1187902, 1523933, 1629590]
38	[180539, 310080, 503970, 923760, 959623, 1330769, 1369240, 1635641, 1744199, 2078034]
39	[922325, 1180958, 1667873, 1976367, 2039166]
40	[183441, 745640, 898955, 1669109]
41	[271995, 317580, 1463759, 1564521, 1675066]
42	[20448, 1201079, 1685011, 2066972]
43	[2672, 17612, 966656, 1724998]
44	[459445, 697057, 1813380, 2035914, 2079003]
45	[69324, 683940, 998036, 1843161]
46	[643447, 1873443, 1953824, 2014530]
47	[261021, 896242, 920852, 1820326]
